sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),method
0.02999999999999997,-0.20666666666666667,-0.6516666666666666,-0.25166666666666665,Shap
0.03666666666666668,-0.05000000000000003,-0.8399999999999999,-0.22666666666666668,Shap
0.023333333333333373,-0.10333333333333333,-0.7883333333333332,-0.21166666666666667,Shap
0.020000000000000018,-0.07500000000000004,-0.7966666666666667,-0.22833333333333333,Shap
0.019999999999999962,-0.2466666666666667,-0.6016666666666666,-0.2516666666666667,Shap
0.020833333333333315,-0.31750000000000006,-0.5341666666666667,-0.2491666666666667,Shap
0.016666666666666607,-0.16500000000000004,-0.6849999999999999,-0.2466666666666667,Shap
0.01999999999999985,-0.18833333333333335,-0.6733333333333333,-0.23833333333333334,Shap
0.03833333333333333,-0.03666666666666675,-0.8433333333333333,-0.2383333333333333,Shap
0.02999999999999997,-0.09333333333333328,-0.8,-0.21666666666666667,Shap
0.016666666666666663,-0.2866666666666666,-0.5616666666666668,-0.24833333333333338,Shap
0.020833333333333315,-0.19416666666666665,-0.6658333333333332,-0.24083333333333334,Shap
0.03416666666666662,-0.0508333333333333,-0.8391666666666666,-0.22416666666666668,Shap
0.043333333333333335,-0.041666666666666685,-0.8466666666666667,-0.235,Shap
0.014999999999999958,-0.30833333333333335,-0.5483333333333333,-0.23833333333333337,Shap
0.015833333333333255,-0.35749999999999993,-0.5125000000000001,-0.22583333333333333,Shap
0.01916666666666672,-0.28750000000000003,-0.5608333333333333,-0.25083333333333335,Shap
0.030833333333333324,-0.20750000000000002,-0.6508333333333333,-0.2525,Shap
0.01416666666666655,-0.31916666666666677,-0.5308333333333334,-0.24416666666666664,Shap
0.02916666666666662,-0.3041666666666667,-0.5508333333333334,-0.2541666666666667,Shap
0.02250000000000002,-0.19583333333333328,-0.6841666666666666,-0.22250000000000003,Shap
0.021666666666666667,-0.2866666666666667,-0.5616666666666666,-0.25333333333333335,Shap
0.025833333333333264,-0.22750000000000004,-0.6124999999999999,-0.26583333333333337,Shap
0.027500000000000024,-0.1491666666666667,-0.7091666666666666,-0.24916666666666665,Shap
0.025833333333333208,-0.20583333333333337,-0.6358333333333334,-0.2641666666666667,Shap
0.03750000000000003,-0.07083333333333337,-0.8175,-0.22916666666666669,Shap
0.019999999999999962,-0.19333333333333333,-0.6666666666666666,-0.24000000000000005,Shap
0.031666666666666676,-0.22999999999999998,-0.64,-0.2416666666666667,Shap
0.030833333333333213,-0.1791666666666667,-0.7024999999999999,-0.22916666666666669,Shap
0.025833333333333375,-0.10916666666666665,-0.7658333333333333,-0.23083333333333333,Shap
0.031666666666666676,-0.0983333333333333,-0.7849999999999999,-0.22833333333333333,Shap
0.022499999999999964,-0.18583333333333335,-0.6858333333333333,-0.23083333333333333,Shap
0.02916666666666662,-0.33416666666666667,-0.5325,-0.24250000000000005,Shap
0.025833333333333264,-0.3341666666666667,-0.5375,-0.2341666666666667,Shap
0.02583333333333343,-0.07416666666666669,-0.8075000000000001,-0.22416666666666663,Shap
0.02583333333333332,-0.09916666666666671,-0.7974999999999999,-0.20916666666666667,Shap
0.020833333333333315,-0.22749999999999998,-0.6475000000000001,-0.22583333333333339,Shap
0.018333333333333368,-0.2433333333333333,-0.605,-0.25,Shap
0.036666666666666625,-0.04500000000000001,-0.8383333333333333,-0.2333333333333333,Shap
0.01999999999999985,-0.18833333333333335,-0.6733333333333333,-0.23833333333333334,Shap
0.028333333333333377,-0.20833333333333337,-0.6449999999999999,-0.255,Shap
